,Tweet,Sentiment
0,RT @MSNBC: BREAKING: Rudy Giuliani says President Trump reimbursed his personal attorney Michael Cohen the $130k paid to Stormy Daniels to…,Positive
1,RT @politico: Longtime Trump associates whose job was to clean up messes are suddenly in the spotlight making things worse for the presiden…,Negative
2,"RT @kylegriffin1: On March 7, Sarah Sanders denied Trump had any knowledge about the Daniels payments: “I’ve had conversations with the Pre…",Positive
3,"RT @ScottPresler: HUGE NEWS: Republicans are fired up in Florida.

✔️We won #HD39 60-40!
✔️We almost flipped #HD114 from blue to red &amp; we o…",Positive
4,"RT @TheAtlantic: Donald Trump ""is the first truly shameless president, the first porn president,"" writes @CaitlinPacific. And that is why S…",Positive
5,"RT @Pappiness: If Rudy Giuliani and Donald Trump just did a few more interviews on Fox News, we could have this whole impeachment wrapped u…",Positive
6,"RT @Doodisgirl: Thank You Mr. President! 👍🏼❤️🇺🇸
Today, President Trump is Unveiling a New White House Initiative to Protect Religious Freed…",Positive
7,@ANTONIOJGILH @nesumosa @Armando_550 @serjo53 @lengusqui @tania_reloaded @grfavoritos @Vzlazonadpaz @El_Revolution… https://t.co/TCaFShQSbF,Positive
8,"RT @NormEisen: Whoa, Rudy may just have proven our @CREWcrew complaint that Trump broke the law by failing to disclose the loan from Cohen…",Negative
9,RT @foxandfriends: Rudy Giuliani explains why Trump’s legal team would only let Mueller grill the president for 2-3 hours https://t.co/UPlo…,Positive
10,"RT @mike_Zollo: Rudy Giuliani didn’t hurt Trump in any way. Trump paid $130K to Michael Cohen which he thought were for travel expenses, et…",Positive
11,"RT @1776Stonewall: Rudy Giuliani, everything you're saying is right. Sessions or Rosenstein should fire Mueller, but they won't. So instead…",Positive
12,RT @waltshaub: And remember that Trump's attorney wanted him to be the first person in history to file a financial disclosure report withou…,Positive
13,"RT @thealexvanness: CNN 2017: One of Trump's tweets could inadvertently cause a nuclear war with North Korea.

TODAY: North Korea has relea…",Positive
14,@THESLAMMMMER Yeah. Need to fix that Trump. Middle class doesn’t need to make for millionaire’s security and retirement.,Positive
